Freq.	V(out)
5.75439937337154e+001	4.68492820859325e+000,-1.21517360691204e+001
5.88843655355586e+001	4.59249909407780e+000,-1.18883543596364e+001
6.02559586074355e+001	4.50399446273119e+000,-1.16299087597717e+001
6.16595001861479e+001	4.41925631182684e+000,-1.13763486928606e+001
6.30957344480190e+001	4.33813214519215e+000,-1.11276209022791e+001
6.45654229034652e+001	4.26047485172102e+000,-1.08836697235138e+001
6.60693448007593e+001	4.18614257954850e+000,-1.06444373400703e+001
6.76082975391978e+001	4.11499860676766e+000,-1.04098640238513e+001
6.91830970918933e+001	4.04691120948586e+000,-1.01798883606332e+001
7.07945784384134e+001	3.98175352794428e+000,-9.95444746127760e+000
7.24435960074986e+001	3.91940343135383e+000,-9.73347715930763e+000
7.41310241300914e+001	3.85974338203617e+000,-9.51691219547162e+000
7.58577575029180e+001	3.80266029939530e+000,-9.30468638990842e+000
7.76247116628688e+001	3.74804542419058e+000,-9.09673280251898e+000
7.94328234724277e+001	3.69579418352924e+000,-8.89298388213001e+000
8.12830516164095e+001	3.64580605694666e+000,-8.69337160502525e+000
8.31763771102667e+001	3.59798444389877e+000,-8.49782760340124e+000
8.51138038202372e+001	3.55223653295049e+000,-8.30628328428583e+000
8.70963589956076e+001	3.50847317290498e+000,-8.11866993944129e+000
8.91250938133741e+001	3.46660874608423e+000,-7.93491884675343e+000
9.12010839355905e+001	3.42656104394097e+000,-7.75496136358961e+000
9.33254300796986e+001	3.38825114515071e+000,-7.57872901258923e+000
9.54992586021431e+001	3.35160329630977e+000,-7.40615356032921e+000
9.77237220955805e+001	3.31654479533776e+000,-7.23716708929062e+000
9.99999999999995e+001	3.28300587766466e+000,-7.07170206353040e+000
1.02329299228075e+002	3.25091960526050e+000,-6.90969138844376e+000
1.04712854805089e+002	3.22022175855113e+000,-6.75106846498636e+000
1.07151930523760e+002	3.19085073124431e+000,-6.59576723870529e+000
1.09647819614318e+002	3.16274742807995e+000,-6.44372224390949e+000
1.12201845430196e+002	3.13585516550280e+000,-6.29486864329635e+000
1.14815362149688e+002	3.11011957524742e+000,-6.14914226333035e+000
1.17489755493952e+002	3.08548851081264e+000,-6.00647962565757e+000
1.20226443461741e+002	3.06191195679697e+000,-5.86681797482182e+000
1.23026877081237e+002	3.03934194105690e+000,-5.73009530253377e+000
1.25892541179416e+002	3.01773244964344e+000,-5.59625036873155e+000
1.28824955169313e+002	2.99703934446829e+000,-5.46522271965524e+000
1.31825673855640e+002	2.97722028364376e+000,-5.33695270314767e+000
1.34896288259165e+002	2.95823464443827e+000,-5.21138148137780e+000
1.38038426460288e+002	2.94004344878501e+000,-5.08845104117466e+000
1.41253754462275e+002	2.92260929127749e+000,-4.96810420214575e+000
1.44543977074592e+002	2.90589626958564e+000,-4.85028462274475e+000
1.47910838816820e+002	2.88986991722171e+000,-4.73493680444140e+000
1.51356124843620e+002	2.87449713858498e+000,-4.62200609413958e+000
1.54881661891247e+002	2.85974614621342e+000,-4.51143868497594e+000
